Setup done!
t577627, T48.0000000000, u2.0000000000
t578627, T48.2500000000, u2.0000000000
t579627, T48.2500000000, u2.0000000000
t580627, T48.2500000000, u2.0000000000
t581627, T48.2500000000, u2.0000000000
t582627, T48.2500000000, u2.0000000000
t583627, T48.2500000000, u2.0000000000
t584627, T48.2500000000, u2.0000000000
t585627, T48.2500000000, u2.0000000000
t586627, T48.2500000000, u2.0000000000
t587627, T48.2500000000, u2.0000000000
t588627, T48.2500000000, u2.0000000000
t589627, T48.2500000000, u2.0000000000
t590627, T48.2500000000, u2.0000000000
t591627, T48.2500000000, u2.0000000000
t592627, T48.2500000000, u2.0000000000
t593627, T48.2500000000, u2.0000000000
t594627, T48.2500000000, u2.0000000000
t595627, T48.2500000000, u2.0000000000
t596627, T48.2500000000, u2.0000000000
t597627, T48.2500000000, u2.0000000000
t598627, T48.5000000000, u2.0000000000
t599627, T48.2500000000, u2.0000000000
t600627, T48.2500000000, u2.0000000000
t601627, T48.5000000000, u2.0000000000
t602627, T48.5000000000, u2.0000000000
t603627, T48.5000000000, u2.0000000000
t604627, T48.2500000000, u2.0000000000
t605627, T48.5000000000, u2.0000000000
t606627, T48.5000000000, u2.0000000000
t607627, T48.5000000000, u2.0000000000
t608627, T48.5000000000, u2.0000000000
t609627, T48.5000000000, u2.0000000000
t610627, T48.5000000000, u2.0000000000
t611627, T48.5000000000, u2.0000000000
t612627, T48.5000000000, u2.0000000000
t613627, T48.5000000000, u2.0000000000
t614627, T48.5000000000, u2.0000000000
t615627, T48.5000000000, u2.0000000000
t616627, T48.5000000000, u2.0000000000
t617627, T48.5000000000, u2.0000000000
t618627, T48.5000000000, u2.0000000000
t619627, T48.5000000000, u2.0000000000
t620627, T48.5000000000, u2.0000000000
t621627, T48.5000000000, u2.0000000000
t622627, T48.5000000000, u2.0000000000
t623627, T48.5000000000, u2.0000000000
t624627, T48.5000000000, u2.0000000000
t625627, T48.5000000000, u2.0000000000
t626627, T48.5000000000, u2.0000000000
t627627, T48.5000000000, u2.0000000000
t628627, T48.5000000000, u2.0000000000
t629627, T48.5000000000, u2.0000000000
t630627, T48.5000000000, u2.0000000000
t631627, T48.7500000000, u2.0000000000
t632627, T48.7500000000, u2.0000000000
t633627, T48.7500000000, u2.0000000000
t634627, T48.7500000000, u2.0000000000
t635627, T48.7500000000, u2.0000000000
t636627, T48.7500000000, u2.0000000000
t637627, T48.7500000000, u2.0000000000
t638627, T48.7500000000, u2.0000000000
t639627, T48.7500000000, u2.0000000000
t640627, T48.7500000000, u2.0000000000
t641627, T48.7500000000, u2.0000000000
t642627, T48.7500000000, u2.0000000000
t643627, T48.7500000000, u2.0000000000
t644627, T48.7500000000, u2.0000000000
t645627, T48.7500000000, u2.0000000000
t646627, T48.7500000000, u2.0000000000
t647627, T48.7500000000, u2.0000000000
t648627, T48.7500000000, u2.0000000000
t649627, T48.7500000000, u2.0000000000
t650627, T48.7500000000, u2.0000000000
t651627, T48.7500000000, u2.0000000000
t652627, T48.7500000000, u2.0000000000
t653627, T48.7500000000, u2.0000000000
t654627, T48.7500000000, u2.0000000000
t655627, T48.7500000000, u2.0000000000
t656627, T48.7500000000, u2.0000000000
t657627, T49.0000000000, u2.0000000000
t658627, T49.0000000000, u2.0000000000
t659627, T49.0000000000, u2.0000000000
t660627, T49.0000000000, u2.0000000000
t661627, T49.0000000000, u2.0000000000
t662627, T49.0000000000, u2.0000000000
t663627, T49.0000000000, u2.0000000000
t664627, T49.0000000000, u2.0000000000
t665627, T49.0000000000, u2.0000000000
t666627, T49.0000000000, u2.0000000000
t667627, T49.0000000000, u2.0000000000
t668627, T49.0000000000, u2.0000000000
t669627, T49.0000000000, u2.0000000000
t670627, T49.0000000000, u2.0000000000
t671627, T49.0000000000, u2.0000000000
t672627, T49.0000000000, u2.0000000000
t673627, T49.0000000000, u2.0000000000
t674627, T49.0000000000, u2.0000000000
t675627, T49.0000000000, u2.0000000000
t676627, T49.0000000000, u2.0000000000
t677627, T49.0000000000, u2.0000000000
t678627, T49.0000000000, u2.0000000000
t679627, T49.0000000000, u2.0000000000
t680627, T49.0000000000, u2.0000000000
t681627, T49.0000000000, u2.0000000000
t682627, T49.0000000000, u2.0000000000
